Column 1,Column 2,Column 3,Column 4,adresse,json,Lon,Lat
ALBACETE,ALBACETE,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,ALBACETE,ALBACETE,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Albacete"",
               ""short_name"" : ""Albacete"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""Albacete"",
               ""short_name"" : ""Albacete"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Castile-La Mancha"",
               ""short_name"" : ""CM"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            }
         ],
         ""formatted_address"" : ""Albacete, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 39.0129156,
                  ""lng"" : -1.834899
               },
               ""southwest"" : {
                  ""lat"" : 38.9714828,
                  ""lng"" : -1.8862798
               }
            },
            ""location"" : {
               ""lat"" : 38.994349,
               ""lng"" : -1.8585424
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 39.0129156,
                  ""lng"" : -1.834899
               },
               ""southwest"" : {
                  ""lat"" : 38.9714828,
                  ""lng"" : -1.8862798
               }
            }
         },
         ""partial_match"" : true,
         ""place_id"" : ""ChIJFY0h--JfZg0RgGEY1jHNaYI"",
         ""types"" : [ ""locality"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",-1.8585424,38.994349
ÁVILA,FONTIVEROS,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,FONTIVEROS,ÁVILA,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Calle Onesimo Redondo"",
               ""short_name"" : ""Calle Onesimo Redondo"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""Fontiveros"",
               ""short_name"" : ""Fontiveros"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""Ávila"",
               ""short_name"" : ""Ávila"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Castilla y León"",
               ""short_name"" : ""CL"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""05310"",
               ""short_name"" : ""05310"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""Calle Onesimo Redondo, 05310 Fontiveros, Ávila, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 40.9300791,
                  ""lng"" : -4.9591958
               },
               ""southwest"" : {
                  ""lat"" : 40.9284082,
                  ""lng"" : -4.962795799999999
               }
            },
            ""location"" : {
               ""lat"" : 40.9292276,
               ""lng"" : -4.9609106
            },
            ""location_type"" : ""GEOMETRIC_CENTER"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 40.93059263029151,
                  ""lng"" : -4.9591958
               },
               ""southwest"" : {
                  ""lat"" : 40.92789466970851,
                  ""lng"" : -4.962795799999999
               }
            }
         },
         ""place_id"" : ""ChIJb85_bfSjQA0RAL2GB34JKEo"",
         ""types"" : [ ""route"" ]
      }
   ],
   ""status"" : ""OK""
}
",-4.9609106,40.9292276
ÁVILA,PEGUERINOS,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,PEGUERINOS,ÁVILA,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Calle Onesimo Redondo"",
               ""short_name"" : ""Calle Onesimo Redondo"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""Peguerinos"",
               ""short_name"" : ""Peguerinos"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""Ávila"",
               ""short_name"" : ""Ávila"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Castilla y León"",
               ""short_name"" : ""CL"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""05239"",
               ""short_name"" : ""05239"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""Calle Onesimo Redondo, 05239 Peguerinos, Ávila, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 40.62954999999999,
                  ""lng"" : -4.2307317
               },
               ""southwest"" : {
                  ""lat"" : 40.62855,
                  ""lng"" : -4.2328803
               }
            },
            ""location"" : {
               ""lat"" : 40.6289879,
               ""lng"" : -4.2317383
            },
            ""location_type"" : ""GEOMETRIC_CENTER"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 40.6303989802915,
                  ""lng"" : -4.230457019708497
               },
               ""southwest"" : {
                  ""lat"" : 40.6277010197085,
                  ""lng"" : -4.233154980291502
               }
            }
         },
         ""place_id"" : ""ChIJT-jQBKgIQQ0RlqhXwRRdHRU"",
         ""types"" : [ ""route"" ]
      }
   ],
   ""status"" : ""OK""
}
",-4.2317383,40.6289879
ÁVILA,SANTO DOMINGO DE LAS POSADAS,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,SANTO DOMINGO DE LAS POSADAS,ÁVILA,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Calle Onesimo Redondo"",
               ""short_name"" : ""Calle Onesimo Redondo"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""Santo Domingo de las Posadas"",
               ""short_name"" : ""Santo Domingo de las Posadas"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""Ávila"",
               ""short_name"" : ""Ávila"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Castilla y León"",
               ""short_name"" : ""CL"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""05292"",
               ""short_name"" : ""05292"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""Calle Onesimo Redondo, 05292 Santo Domingo de las Posadas, Ávila, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 40.81309,
                  ""lng"" : -4.634069999999999
               },
               ""southwest"" : {
                  ""lat"" : 40.81158,
                  ""lng"" : -4.63544
               }
            },
            ""location"" : {
               ""lat"" : 40.8122666,
               ""lng"" : -4.635052
            },
            ""location_type"" : ""GEOMETRIC_CENTER"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 40.8136839802915,
                  ""lng"" : -4.633406019708498
               },
               ""southwest"" : {
                  ""lat"" : 40.8109860197085,
                  ""lng"" : -4.636103980291503
               }
            }
         },
         ""place_id"" : ""ChIJAwEtf2XpQA0RImmYITA6OfQ"",
         ""types"" : [ ""route"" ]
      }
   ],
   ""status"" : ""OK""
}
",-4.635052,40.8122666
BURGOS,VALLARTA DE BUREBA,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,VALLARTA DE BUREBA,BURGOS,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Calle de Onésimo Redondo"",
               ""short_name"" : ""Calle de Onésimo Redondo"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""Vallarta de Bureba"",
               ""short_name"" : ""Vallarta de Bureba"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""Burgos"",
               ""short_name"" : ""Burgos"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Castilla y León"",
               ""short_name"" : ""CL"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""09245"",
               ""short_name"" : ""09245"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""Calle de Onésimo Redondo, 09245 Vallarta de Bureba, Burgos, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 42.5897623,
                  ""lng"" : -3.2038
               },
               ""southwest"" : {
                  ""lat"" : 42.5876883,
                  ""lng"" : -3.2052278
               }
            },
            ""location"" : {
               ""lat"" : 42.5886769,
               ""lng"" : -3.2042807
            },
            ""location_type"" : ""GEOMETRIC_CENTER"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 42.5900742802915,
                  ""lng"" : -3.203164919708498
               },
               ""southwest"" : {
                  ""lat"" : 42.5873763197085,
                  ""lng"" : -3.205862880291502
               }
            }
         },
         ""place_id"" : ""ChIJz868NIl7Tw0RcAUyxc2Wa04"",
         ""types"" : [ ""route"" ]
      }
   ],
   ""status"" : ""OK""
}
",-3.2042807,42.5886769
CÁCERES,NAVALMORAL DE LA MATA,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,NAVALMORAL DE LA MATA,CÁCERES,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Calle Onésimo Redondo"",
               ""short_name"" : ""Calle Onésimo Redondo"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""Navalmoral de la Mata"",
               ""short_name"" : ""Navalmoral de la Mata"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""Cáceres"",
               ""short_name"" : ""Cáceres"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Extremadura"",
               ""short_name"" : ""EX"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""10300"",
               ""short_name"" : ""10300"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""Calle Onésimo Redondo, 10300 Navalmoral de la Mata, Cáceres, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 39.8918812,
                  ""lng"" : -5.546349999999999
               },
               ""southwest"" : {
                  ""lat"" : 39.890412,
                  ""lng"" : -5.5469818
               }
            },
            ""location"" : {
               ""lat"" : 39.8911485,
               ""lng"" : -5.5465949
            },
            ""location_type"" : ""GEOMETRIC_CENTER"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 39.8924955802915,
                  ""lng"" : -5.545316919708497
               },
               ""southwest"" : {
                  ""lat"" : 39.8897976197085,
                  ""lng"" : -5.548014880291502
               }
            }
         },
         ""place_id"" : ""ChIJIY9XvczZPw0R_7UIkudqMEk"",
         ""types"" : [ ""route"" ]
      }
   ],
   ""status"" : ""OK""
}
",-5.5465949,39.8911485
CIUDAD REAL,RETUERTA DEL BULLAQUE,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,RETUERTA DEL BULLAQUE,CIUDAD REAL,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Calle Onésimo Redondo"",
               ""short_name"" : ""Calle Onésimo Redondo"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""Retuerta del Bullaque"",
               ""short_name"" : ""Retuerta del Bullaque"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""Ciudad Real"",
               ""short_name"" : ""Cdad. Real"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Castilla-La Mancha"",
               ""short_name"" : ""CM"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""13194"",
               ""short_name"" : ""13194"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""Calle Onésimo Redondo, 13194 Retuerta del Bullaque, Cdad. Real, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 39.4637965,
                  ""lng"" : -4.412583199999999
               },
               ""southwest"" : {
                  ""lat"" : 39.4626949,
                  ""lng"" : -4.414254
               }
            },
            ""location"" : {
               ""lat"" : 39.4632539,
               ""lng"" : -4.4134194
            },
            ""location_type"" : ""GEOMETRIC_CENTER"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 39.4645946802915,
                  ""lng"" : -4.412069619708498
               },
               ""southwest"" : {
                  ""lat"" : 39.4618967197085,
                  ""lng"" : -4.414767580291502
               }
            }
         },
         ""place_id"" : ""ChIJqboncT72ag0Rf-fxq4ehNKw"",
         ""types"" : [ ""route"" ]
      }
   ],
   ""status"" : ""OK""
}
",-4.4134194,39.4632539
CUENCA,VILLALPARDO,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,VILLALPARDO,CUENCA,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Calle Onésimo Redondo"",
               ""short_name"" : ""Calle Onésimo Redondo"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""Villalpardo"",
               ""short_name"" : ""Villalpardo"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""Cuenca"",
               ""short_name"" : ""Cuenca"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Castilla-La Mancha"",
               ""short_name"" : ""CM"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""16270"",
               ""short_name"" : ""16270"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""Calle Onésimo Redondo, 16270 Villalpardo, Cuenca, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 39.4719979,
                  ""lng"" : -1.6238894
               },
               ""southwest"" : {
                  ""lat"" : 39.4667055,
                  ""lng"" : -1.6292724
               }
            },
            ""location"" : {
               ""lat"" : 39.4693494,
               ""lng"" : -1.6264766
            },
            ""location_type"" : ""GEOMETRIC_CENTER"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 39.4719979,
                  ""lng"" : -1.6238894
               },
               ""southwest"" : {
                  ""lat"" : 39.4667055,
                  ""lng"" : -1.6292724
               }
            }
         },
         ""place_id"" : ""EjpDYWxsZSBPbsOpc2ltbyBSZWRvbmRvLCAxNjI3MCBWaWxsYWxwYXJkbywgQ3VlbmNhLCBFc3Bhw7FhIkgqRgoUChIJRy1Nt3AaZw0R6uNqo3NjlnoSFAoSCTcbleJ2GmcNEWKsO9kdFVJGGhgKCg0vJIYXFYxkB_8SCg3r8oYXFdI2CP8"",
         ""types"" : [ ""route"" ]
      }
   ],
   ""status"" : ""OK""
}
",-1.6264766,39.4693494
JAÉN,CHICLANA DE SEGURA,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,CHICLANA DE SEGURA,JAÉN,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Chiclana de Segura"",
               ""short_name"" : ""Chiclana de Segura"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""Jaén"",
               ""short_name"" : ""Jaén"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Andalucía"",
               ""short_name"" : ""AL"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""23264"",
               ""short_name"" : ""23264"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""23264 Chiclana de Segura, Jaén, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 38.3135962,
                  ""lng"" : -3.0393548
               },
               ""southwest"" : {
                  ""lat"" : 38.308457,
                  ""lng"" : -3.0492602
               }
            },
            ""location"" : {
               ""lat"" : 38.3107885,
               ""lng"" : -3.0444752
            },
            ""location_type"" : ""APPROXIMATE"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 38.3135962,
                  ""lng"" : -3.0393548
               },
               ""southwest"" : {
                  ""lat"" : 38.308457,
                  ""lng"" : -3.0492602
               }
            }
         },
         ""partial_match"" : true,
         ""place_id"" : ""ChIJvfAe8aQhbw0ROPZmAI_F8DE"",
         ""types"" : [ ""locality"", ""political"" ]
      }
   ],
   ""status"" : ""OK""
}
",-3.0444752,38.3107885
LEÓN,LAGUNA DE NEGRILLOS,CALLE,ONESIMO REDONDO,"CALLE ONESIMO REDONDO,LAGUNA DE NEGRILLOS,LEÓN,SPAIN","{
   ""results"" : [
      {
         ""address_components"" : [
            {
               ""long_name"" : ""Calle Onésimo Redondo"",
               ""short_name"" : ""Calle Onésimo Redondo"",
               ""types"" : [ ""route"" ]
            },
            {
               ""long_name"" : ""Laguna de Negrillos"",
               ""short_name"" : ""Laguna de Negrillos"",
               ""types"" : [ ""locality"", ""political"" ]
            },
            {
               ""long_name"" : ""León"",
               ""short_name"" : ""León"",
               ""types"" : [ ""administrative_area_level_2"", ""political"" ]
            },
            {
               ""long_name"" : ""Castilla y León"",
               ""short_name"" : ""CL"",
               ""types"" : [ ""administrative_area_level_1"", ""political"" ]
            },
            {
               ""long_name"" : ""Spain"",
               ""short_name"" : ""ES"",
               ""types"" : [ ""country"", ""political"" ]
            },
            {
               ""long_name"" : ""24234"",
               ""short_name"" : ""24234"",
               ""types"" : [ ""postal_code"" ]
            }
         ],
         ""formatted_address"" : ""Calle Onésimo Redondo, 24234 Laguna de Negrillos, León, Spain"",
         ""geometry"" : {
            ""bounds"" : {
               ""northeast"" : {
                  ""lat"" : 42.2396635,
                  ""lng"" : -5.6615362
               },
               ""southwest"" : {
                  ""lat"" : 42.2393991,
                  ""lng"" : -5.6628549
               }
            },
            ""location"" : {
               ""lat"" : 42.239548,
               ""lng"" : -5.6621977
            },
            ""location_type"" : ""GEOMETRIC_CENTER"",
            ""viewport"" : {
               ""northeast"" : {
                  ""lat"" : 42.2408802802915,
                  ""lng"" : -5.660846569708498
               },
               ""southwest"" : {
                  ""lat"" : 42.23818231970851,
                  ""lng"" : -5.663544530291502
               }
            }
         },
         ""place_id"" : ""ChIJ0cjlBxQyOA0RomkNZbIFHw8"",
         ""types"" : [ ""route"" ]
      }
   ],
   ""status"" : ""OK""
}
",-5.6621977,42.239548
